场景分类名称,环节,意图,话术匹配ID,话术内容,关联变量(可留空),状态(online/offline)
营销活动,推荐,,20266527188432,"场景1、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-1元】（业务编码：2031912）每个月1元，包含100分钟+5GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。
场景2、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}分钟，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-3元】（业务编码：2031913）每个月3元，包含500分钟+20GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。",,online
营销活动,推荐,,20266511328323,"场景1、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-1元】（业务编码：2031912）每个月1元，包含100分钟+5GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。
场景2、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}分钟，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-3元】（业务编码：2031913）每个月3元，包含500分钟+20GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。",,online
营销活动,推荐,,2026645993441,"场景1、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-1元】（业务编码：2031912）每个月1元，包含100分钟+5GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。
场景2、我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元。分钟超出{当月资源[over_voice]}分钟，超套费用{当月资源[over_voice_fee]}元，现在有一个【5G安心月包-3元】（业务编码：2031913）每个月3元，包含500分钟+20GB流量，有效期24个月，到期自动取消，也可随时取消，非常方便。",,online
营销活动,推荐,,20266510873112,"切入语：您现在用的还是个老资费，只有{userinfo[currDomesticVoice]}分钟，{userinfo[currDomesticTraffic]}流量，现在新出一款资费更适合您，包含50分钟+2G流量，您当前资费8元，新资费9元，跟您现在就差1块钱，多给您20分钟和2G流量。
场景1：您当前资费分钟超出后一分钟就0.25元，新资费每月多花1元（不到1瓶水的价格），不仅多了20分钟，而且超出后是0.15/分钟，大部分客户都已经更换了，给您也申请上吧，这样用着更安心。
场景2：当前资费您上网超出后一兆就是0.29元，现在新资费多花1元（不到1瓶水的价格）给您2G，大部分客户都已经更换了，给您也申请上吧，这样用着更安心。
场景3：您当前资费分钟超出后一分钟就0.25元，您上网超出一兆就0.29元，现在新资费多花1元（不到1瓶水的价格）多给您20分钟和2G流量。
月费28元，每月赠费19元，相当于每月9元，有效期三年，到期可续约使用，相当于终身有效，您可以放心使用。",,online
营销活动,推荐,,20266511751052,我看您当月流量超出{当月资源[over_flow]}，超套费用{当月资源[over_flow_fee]}元，可以考虑办一个季度流量包，包含5GB流量（国内通用，不含港澳台），3个月内可以使用，这月用不完后面两个月可以接着用，只收3元钱。我给您申请上，您就可以放心使用，减少超套产生额外费用的情况。,,online
